Date,Price,Open,High,Low,Vol.,Change %
2/28/1985,1284.01,1281.14,1284.01,1277.61,,0.0023
2/27/1985,1281.03,1286.11,1291.41,1279.26,,-0.0039
2/26/1985,1286.11,1277.5,1291.3,1276.17,,0.0067
2/25/1985,1277.5,1275.84,1279.15,1268.88,,0.0013
2/22/1985,1275.84,1279.15,1282.46,1274.07,,-0.0025
2/21/1985,1279.04,1282.69,1282.69,1276.06,,-0.0032
2/20/1985,1283.13,1280.26,1288.76,1276.83,,0.002
2/19/1985,1280.59,1281.8,1282.58,1277.27,,-0.0011
2/15/1985,1282.02,1287.88,1291.19,1278.27,,-0.0046
2/14/1985,1287.88,1297.92,1303.11,1287.87,,-0.0077
2/13/1985,1297.92,1276.61,1302.01,1276.28,,0.0167
2/12/1985,1276.61,1275.95,1279.59,1269.66,,0.0004
2/11/1985,1276.06,1289.86,1290.64,1272.86,,-0.0108
2/8/1985,1289.97,1289.42,1295.05,1286.11,,-0.0001
2/7/1985,1290.08,1280.92,1292.07,1280.92,,0.0074
2/6/1985,1280.59,1286,1289.86,1279.81,,-0.0036
2/5/1985,1285.23,1289.97,1296.71,1282.02,,-0.0038
2/4/1985,1290.08,1278.05,1290.53,1271.75,,0.0097
2/1/1985,1277.72,1285.56,1285.56,1274.85,,-0.007
1/31/1985,1286.77,1288.65,1288.65,1277.39,,-0.0009
1/30/1985,1287.88,1292.62,1300.02,1284.34,,-0.0037
1/29/1985,1292.62,1277.61,1292.62,1272.97,,0.0116
1/28/1985,1277.83,1275.73,1285.34,1269.1,,0.0014
1/25/1985,1276.06,1271.2,1279.48,1268.66,,0.0044
1/24/1985,1270.43,1274.74,1282.8,1268.99,,-0.0034
1/23/1985,1274.73,1259.94,1274.85,1258.5,,0.0121
1/22/1985,1259.5,1260.6,1271.86,1256.96,,-0.0015
1/21/1985,1261.37,1226.37,1264.24,1226.37,,0.0277
1/18/1985,1227.36,1228.8,1232.44,1224.38,,-0.0011
1/17/1985,1228.69,1230.46,1239.73,1221.51,,-0.0016
1/16/1985,1230.68,1230.68,1238.18,1224.71,,-0.0001
1/15/1985,1230.79,1232.77,1238.96,1225.93,,-0.003
1/14/1985,1234.54,1217.65,1235.53,1213.23,,0.0135
1/11/1985,1218.09,1222.73,1226.26,1214,,-0.0044
1/10/1985,1223.5,1202.85,1223.49,1199.65,,0.0173
1/9/1985,1202.74,1191.59,1205.72,1191.59,,0.0093
1/8/1985,1191.7,1190.59,1195.78,1188.83,,0.0009
1/7/1985,1190.59,1185.18,1194.57,1185.18,,0.0048
1/4/1985,1184.96,1188.49,1189.6,1180.99,,-0.0041
1/3/1985,1189.82,1198.76,1205.83,1189.27,,-0.0075
1/2/1985,1198.87,1210.14,1210.47,1197,,-0.0105
12/31/1984,1211.57,1203.73,1211.68,1202.63,,0.0061
12/28/1984,1204.17,1202.08,1206.38,1199.54,,0.0014
12/27/1984,1202.52,1208.7,1211.13,1201.52,,-0.0053
12/26/1984,1208.92,1210.14,1210.14,1205.39,,-0.001
12/24/1984,1210.14,1199.98,1211.79,1199.76,,0.0093
12/21/1984,1198.98,1203.95,1204.51,1189.71,,-0.0036
12/20/1984,1203.29,1209.36,1216.65,1202.41,,-0.0039
12/19/1984,1208.04,1210.25,1220.19,1206.05,,-0.0029
12/18/1984,1211.57,1177.34,1211.57,1177.34,,0.0296
12/17/1984,1176.79,1176.9,1176.9,1167.18,,0.0007
12/14/1984,1175.91,1169.28,1184.74,1168.73,,0.006
12/13/1984,1168.84,1174.47,1179,1167.29,,-0.0054
12/12/1984,1175.13,1178.33,1180.76,1173.48,,-0.0027
12/11/1984,1178.33,1172.81,1178.78,1171.6,,0.0052
12/10/1984,1172.26,1165.74,1176.79,1157.46,,0.0078
12/7/1984,1163.21,1170.27,1174.58,1162.77,,-0.0062
12/6/1984,1170.49,1171.6,1174.14,1163.21,,-0.0009
12/5/1984,1171.6,1184.96,1186.4,1169.17,,-0.0114
12/4/1984,1185.07,1182.97,1189.38,1182.31,,0.0022
12/3/1984,1182.42,1189.16,1189.71,1176.57,,-0.0055
11/30/1984,1188.94,1194.02,1194.9,1185.84,,-0.0038
11/29/1984,1193.46,1205.94,1205.94,1192.03,,-0.0099
11/28/1984,1205.39,1221.07,1221.73,1205.17,,-0.0121
11/27/1984,1220.19,1212.46,1222.84,1208.04,,0.0065
11/26/1984,1212.35,1220.19,1221.07,1208.81,,-0.0065
11/23/1984,1220.3,1202.41,1220.41,1202.41,,0.0156
11/21/1984,1201.52,1195.12,1203.95,1187.83,,0.0054
11/20/1984,1195.12,1185.18,1199.21,1185.18,,0.0083
11/19/1984,1185.29,1193.12,1194.23,1184.19,,-0.0022
11/16/1984,1187.94,1205.72,1210.58,1187.94,,-0.0151
11/15/1984,1206.16,1207.49,1211.79,1202.63,,-0.0006
11/14/1984,1206.93,1206.82,1212.12,1201.74,,0.0003
11/13/1984,1206.6,1219.08,1219.63,1204.84,,-0.0103
11/12/1984,1219.19,1218.31,1219.3,1211.46,,0.0002
11/9/1984,1218.97,1230.57,1235.65,1217.65,,-0.0079
11/8/1984,1228.69,1232.77,1233.55,1225.38,,-0.0037
11/7/1984,1233.22,1243.82,1243.82,1227.47,,-0.0088
11/6/1984,1244.15,1230.12,1244.14,1230.12,,0.0121
11/5/1984,1229.24,1216.54,1229.79,1216.54,,0.0103
11/2/1984,1216.65,1216.76,1222.06,1214.22,,-0.0004
11/1/1984,1217.09,1207.71,1219.96,1207.6,,0.008
10/31/1984,1207.38,1217.09,1217.31,1205.5,,-0.0082
10/30/1984,1217.31,1200.86,1220.96,1200.42,,0.0132
10/29/1984,1201.41,1204.84,1204.84,1199.76,,-0.0029
10/26/1984,1204.95,1206.16,1208.48,1201.41,,-0.005
10/25/1984,1211.02,1216.21,1219.85,1209.03,,-0.0044
10/24/1984,1216.43,1212.35,1216.87,1209.58,,0.0028
10/23/1984,1213.01,1216.76,1223.83,1211.13,,-0.0034
